"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2015","AQS","530330017","4","7.1","ug/m3 LC","39","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/02/2015","AQS","530330017","4","6.7","ug/m3 LC","37","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/03/2015","AQS","530330017","4","7.7","ug/m3 LC","43","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/04/2015","AQS","530330017","4","3.4","ug/m3 LC","19","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/05/2015","AQS","530330017","4","2.3","ug/m3 LC","13","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/06/2015","AQS","530330017","4","3.1","ug/m3 LC","17","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/07/2015","AQS","530330017","4","6.7","ug/m3 LC","37","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/08/2015","AQS","530330017","4","3.5","ug/m3 LC","19","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/09/2015","AQS","530330017","4","3.2","ug/m3 LC","18","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/10/2015","AQS","530330017","4","7","ug/m3 LC","39","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/11/2015","AQS","530330017","4","4.7","ug/m3 LC","26","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/12/2015","AQS","530330017","4","4.7","ug/m3 LC","26","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
"01/13/2015","AQS","530330017","4","2.5","ug/m3 LC","14","NORTH BEND - NORTH BEND WAY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.49022","-121.77278"
